opening_type,context,move_type_pred,move_pred
Four Knights Game: Italian Variation,"r . b q k . . r
p p p p . p p p
. . n . . n . .
. . b . p . . .
. . B . P . . .
. . N . . N . .
P P P P . P P P
R . B Q K . . R a2a3 0
r . b q k . . r
p p p p . p p p
. . n . . n . .
. . b . p . . .
. . B . P . . .
P . N . . N . .
. P P P . P P P
R . B Q K . . R c5f2 1
r . b q k . . r
p p p p . p p p
. . n . . n . .
. . . . p . . .
. . B . P . . .
P . N . . N . .
. P P P . b P P
R . B Q K . . R e1f2 1,2
r . b q k . . r
p p p p . p p p
. . n . . n . .
. . . . p . . .
. . B . P . . .
P . N . . N . .
. P P P . K P P
R . B Q . . . R c6d4 0
r . b q k . . r
p p p p . p p p
. . . . . n . .
. . . . p . . .
. . B n P . . .
P . N . . N . .
. P P P . K P P
R . B Q . . . R d2d3 0
r . b q k . . r
p p p p . p p p
. . . . . n . .
. . . . p . . .
. . B n P . . .
P . N P . N . .
. P P . . K P P
R . B Q . . . R
",0,f6g4
Four Knights Game: Italian Variation,"r n b q k b n r
p p p p p p p p
. . . . . . . .
. . . . . . . .
. . . . . . . .
. . . . . . . .
P P P P P P P P
R N B Q K B N R e2e4 0
r n b q k b n r
p p p p p p p p
. . . . . . . .
. . . . . . . .
. . . . P . . .
. . . . . . . .
P P P P . P P P
R N B Q K B N R e7e5 0
r n b q k b n r
p p p p . p p p
. . . . . . . .
. . . . p . . .
. . . . P . . .
. . . . . . . .
P P P P . P P P
R N B Q K B N R g1f3 0
r n b q k b n r
p p p p . p p p
. . . . . . . .
. . . . p . . .
. . . . P . . .
. . . . . N . .
P P P P . P P P
R N B Q K B . R b8c6 0
r . b q k b n r
p p p p . p p p
. . n . . . . .
. . . . p . . .
. . . . P . . .
. . . . . N . .
P P P P . P P P
R N B Q K B . R f1c4 0
r . b q k b n r
p p p p . p p p
. . n . . . . .
. . . . p . . .
. . B . P . . .
. . . . . N . .
P P P P . P P P
R N B Q K . . R g8f6 0
r . b q k b . r
p p p p . p p p
. . n . . n . .
. . . . p . . .
. . B . P . . .
. . . . . N . .
P P P P . P P P
R N B Q K . . R b1c3 0
r . b q k b . r
p p p p . p p p
. . n . . n . .
. . . . p . . .
. . B . P . . .
. . N . . N . .
P P P P . P P P
R . B Q K . . R f8c5 0
r . b q k . . r
p p p p . p p p
. . n . . n . .
. . b . p . . .
. . B . P . . .
. . N . . N . .
P P P P . P P P
R . B Q K . . R a2a3 0
r . b q k . . r
p p p p . p p p
. . n . . n . .
. . b . p . . .
. . B . P . . .
P . N . . N . .
. P P P . P P P
R . B Q K . . R c5f2 1
r . b q k . . r
p p p p . p p p
. . n . . n . .
. . . . p . . .
. . B . P . . .
P . N . . N . .
. P P P . b P P
R . B Q K . . R e1f2 1,2
r . b q k . . r
p p p p . p p p
. . n . . n . .
. . . . p . . .
. . B . P . . .
P . N . . N . .
. P P P . K P P
R . B Q . . . R
",0,c6d4
Four Knights Game: Italian Variation,"r n b q k b n r
p p p p . p p p
. . . . . . . .
. . . . p . . .
. . . . P . . .
. . . . . N . .
P P P P . P P P
R N B Q K B . R b8c6 0
r . b q k b n r
p p p p . p p p
. . n . . . . .
. . . . p . . .
. . . . P . . .
. . . . . N . .
P P P P . P P P
R N B Q K B . R f1c4 0
r . b q k b n r
p p p p . p p p
. . n . . . . .
. . . . p . . .
. . B . P . . .
. . . . . N . .
P P P P . P P P
R N B Q K . . R g8f6 0
r . b q k b . r
p p p p . p p p
. . n . . n . .
. . . . p . . .
. . B . P . . .
. . . . . N . .
P P P P . P P P
R N B Q K . . R b1c3 0
r . b q k b . r
p p p p . p p p
. . n . . n . .
. . . . p . . .
. . B . P . . .
. . N . . N . .
P P P P . P P P
R . B Q K . . R f8c5 0
r . b q k . . r
p p p p . p p p
. . n . . n . .
. . b . p . . .
. . B . P . . .
. . N . . N . .
P P P P . P P P
R . B Q K . . R a2a3 0
r . b q k . . r
p p p p . p p p
. . n . . n . .
. . b . p . . .
. . B . P . . .
P . N . . N . .
. P P P . P P P
R . B Q K . . R c5f2 1
r . b q k . . r
p p p p . p p p
. . n . . n . .
. . . . p . . .
. . B . P . . .
P . N . . N . .
. P P P . b P P
R . B Q K . . R e1f2 1,2
r . b q k . . r
p p p p . p p p
. . n . . n . .
. . . . p . . .
. . B . P . . .
P . N . . N . .
. P P P . K P P
R . B Q . . . R c6d4 0
r . b q k . . r
p p p p . p p p
. . . . . n . .
. . . . p . . .
. . B n P . . .
P . N . . N . .
. P P P . K P P
R . B Q . . . R d2d3 0
r . b q k . . r
p p p p . p p p
. . . . . n . .
. . . . p . . .
. . B n P . . .
P . N P . N . .
. P P . . K P P
R . B Q . . . R
",0,f6g4
Four Knights Game: Italian Variation,"r . b q k . . r
p p p p . p p p
. . n . . n . .
. . b . p . . .
. . B . P . . .
. . N . . N . .
P P P P . P P P
R . B Q K . . R a2a3 0
r . b q k . . r
p p p p . p p p
. . n . . n . .
. . b . p . . .
. . B . P . . .
P . N . . N . .
. P P P . P P P
R . B Q K . . R c5f2 1
r . b q k . . r
p p p p . p p p
. . n . . n . .
. . . . p . . .
. . B . P . . .
P . N . . N . .
. P P P . b P P
R . B Q K . . R e1f2 1,2
r . b q k . . r
p p p p . p p p
. . n . . n . .
. . . . p . . .
. . B . P . . .
P . N . . N . .
. P P P . K P P
R . B Q . . . R c6d4 0
r . b q k . . r
p p p p . p p p
. . . . . n . .
. . . . p . . .
. . B n P . . .
P . N . . N . .
. P P P . K P P
R . B Q . . . R d2d3 0
r . b q k . . r
p p p p . p p p
. . . . . n . .
. . . . p . . .
. . B n P . . .
P . N P . N . .
. P P . . K P P
R . B Q . . . R f6g4 0
r . b q k . . r
p p p p . p p p
. . . . . . . .
. . . . p . . .
. . B n P . n .
P . N P . N . .
. P P . . K P P
R . B Q . . . R f2f1 0,2
r . b q k . . r
p p p p . p p p
. . . . . . . .
. . . . p . . .
. . B n P . n .
P . N P . N . .
. P P . . . P P
R . B Q . K . R d8f6 0
r . b . k . . r
p p p p . p p p
. . . . . q . .
. . . . p . . .
. . B n P . n .
P . N P . N . .
. P P . . . P P
R . B Q . K . R h2h3 0
r . b . k . . r
p p p p . p p p
. . . . . q . .
. . . . p . . .
. . B n P . n .
P . N P . N . P
. P P . . . P .
R . B Q . K . R d7d5 0
r . b . k . . r
p p p . . p p p
. . . . . q . .
. . . p p . . .
. . B n P . n .
P . N P . N . P
. P P . . . P .
R . B Q . K . R c3d5 1
r . b . k . . r
p p p . . p p p
. . . . . q . .
. . . N p . . .
. . B n P . n .
P . . P . N . P
. P P . . . P .
R . B Q . K . R f6e6 0
r . b . k . . r
p p p . . p p p
. . . . q . . .
. . . N p . . .
. . B n P . n .
P . . P . N . P
. P P . . . P .
R . B Q . K . R d5c7 1
r . b . k . . r
p p N . . p p p
. . . . q . . .
. . . . p . . .
. . B n P . n .
P . . P . N . P
. P P . . . P .
R . B Q . K . R
","1,2",d5c7
Four Knights Game: Italian Variation,"r n b q k b n r
p p p p . p p p
. . . . . . . .
. . . . p . . .
. . . . P . . .
. . . . . N . .
P P P P . P P P
R N B Q K B . R b8c6 0
r . b q k b n r
p p p p . p p p
. . n . . . . .
. . . . p . . .
. . . . P . . .
. . . . . N . .
P P P P . P P P
R N B Q K B . R f1c4 0
r . b q k b n r
p p p p . p p p
. . n . . . . .
. . . . p . . .
. . B . P . . .
. . . . . N . .
P P P P . P P P
R N B Q K . . R g8f6 0
r . b q k b . r
p p p p . p p p
. . n . . n . .
. . . . p . . .
. . B . P . . .
. . . . . N . .
P P P P . P P P
R N B Q K . . R b1c3 0
r . b q k b . r
p p p p . p p p
. . n . . n . .
. . . . p . . .
. . B . P . . .
. . N . . N . .
P P P P . P P P
R . B Q K . . R f8c5 0
r . b q k . . r
p p p p . p p p
. . n . . n . .
. . b . p . . .
. . B . P . . .
. . N . . N . .
P P P P . P P P
R . B Q K . . R a2a3 0
r . b q k . . r
p p p p . p p p
. . n . . n . .
. . b . p . . .
. . B . P . . .
P . N . . N . .
. P P P . P P P
R . B Q K . . R c5f2 1
r . b q k . . r
p p p p . p p p
. . n . . n . .
. . . . p . . .
. . B . P . . .
P . N . . N . .
. P P P . b P P
R . B Q K . . R e1f2 1,2
r . b q k . . r
p p p p . p p p
. . n . . n . .
. . . . p . . .
. . B . P . . .
P . N . . N . .
. P P P . K P P
R . B Q . . . R
",0,c6d4
Caro-Kann Defense: Goldman Variation,"r . b q k b n r
p p . n p p p p
. . p . . . . .
. . . . . . . .
. . B . N . . .
. . . . . Q . .
P P P P . P P P
R . B . K . N R g8f6 0
r . b q k b . r
p p . n p p p p
. . p . . n . .
. . . . . . . .
. . B . N . . .
. . . . . Q . .
P P P P . P P P
R . B . K . N R e4f6 1
r . b q k b . r
p p . n p p p p
. . p . . N . .
. . . . . . . .
. . B . . . . .
. . . . . Q . .
P P P P . P P P
R . B . K . N R d7f6 1,2
r . b q k b . r
p p . . p p p p
. . p . . n . .
. . . . . . . .
. . B . . . . .
. . . . . Q . .
P P P P . P P P
R . B . K . N R f3g3 0
r . b q k b . r
p p . . p p p p
. . p . . n . .
. . . . . . . .
. . B . . . . .
. . . . . . Q .
P P P P . P P P
R . B . K . N R c8f5 0
r . . q k b . r
p p . . p p p p
. . p . . n . .
. . . . . b . .
. . B . . . . .
. . . . . . Q .
P P P P . P P P
R . B . K . N R d2d3 0
r . . q k b . r
p p . . p p p p
. . p . . n . .
. . . . . b . .
. . B . . . . .
. . . P . . Q .
P P P . . P P P
R . B . K . N R f5g6 0
r . . q k b . r
p p . . p p p p
. . p . . n b .
. . . . . . . .
. . B . . . . .
. . . P . . Q .
P P P . . P P P
R . B . K . N R g1e2 0
r . . q k b . r
p p . . p p p p
. . p . . n b .
. . . . . . . .
. . B . . . . .
. . . P . . Q .
P P P . N P P P
R . B . K . . R e7e6 0
r . . q k b . r
p p . . . p p p
. . p . p n b .
. . . . . . . .
. . B . . . . .
. . . P . . Q .
P P P . N P P P
R . B . K . . R
",0,c1f4
Caro-Kann Defense: Goldman Variation,"r . b q k b . r
p p . . p p p p
. . p . . n . .
. . . . . . . .
. . B . . . . .
. . . . . Q . .
P P P P . P P P
R . B . K . N R f3g3 0
r . b q k b . r
p p . . p p p p
. . p . . n . .
. . . . . . . .
. . B . . . . .
. . . . . . Q .
P P P P . P P P
R . B . K . N R c8f5 0
r . . q k b . r
p p . . p p p p
. . p . . n . .
. . . . . b . .
. . B . . . . .
. . . . . . Q .
P P P P . P P P
R . B . K . N R d2d3 0
r . . q k b . r
p p . . p p p p
. . p . . n . .
. . . . . b . .
. . B . . . . .
. . . P . . Q .
P P P . . P P P
R . B . K . N R f5g6 0
r . . q k b . r
p p . . p p p p
. . p . . n b .
. . . . . . . .
. . B . . . . .
. . . P . . Q .
P P P . . P P P
R . B . K . N R g1e2 0
r . . q k b . r
p p . . p p p p
. . p . . n b .
. . . . . . . .
. . B . . . . .
. . . P . . Q .
P P P . N P P P
R . B . K . . R e7e6 0
r . . q k b . r
p p . . . p p p
. . p . p n b .
. . . . . . . .
. . B . . . . .
. . . P . . Q .
P P P . N P P P
R . B . K . . R
",0,c1f4
Caro-Kann Defense: Goldman Variation,"r . b q k b . r
p p . . p p p p
. . p . . n . .
. . . . . . . .
. . B . . . . .
. . . . . Q . .
P P P P . P P P
R . B . K . N R f3g3 0
r . b q k b . r
p p . . p p p p
. . p . . n . .
. . . . . . . .
. . B . . . . .
. . . . . . Q .
P P P P . P P P
R . B . K . N R c8f5 0
r . . q k b . r
p p . . p p p p
. . p . . n . .
. . . . . b . .
. . B . . . . .
. . . . . . Q .
P P P P . P P P
R . B . K . N R
",0,d2d3
Caro-Kann Defense: Goldman Variation,"r n b q k b n r
p p . p p p p p
. . p . . . . .
. . . . . . . .
. . . . P . . .
. . . . . . . .
P P P P . P P P
R N B Q K B N R b1c3 0
r n b q k b n r
p p . p p p p p
. . p . . . . .
. . . . . . . .
. . . . P . . .
. . N . . . . .
P P P P . P P P
R . B Q K B N R d7d5 0
r n b q k b n r
p p . . p p p p
. . p . . . . .
. . . p . . . .
. . . . P . . .
. . N . . . . .
P P P P . P P P
R . B Q K B N R d1f3 0
r n b q k b n r
p p . . p p p p
. . p . . . . .
. . . p . . . .
. . . . P . . .
. . N . . Q . .
P P P P . P P P
R . B . K B N R d5e4 1
r n b q k b n r
p p . . p p p p
. . p . . . . .
. . . . . . . .
. . . . p . . .
. . N . . Q . .
P P P P . P P P
R . B . K B N R c3e4 1
r n b q k b n r
p p . . p p p p
. . p . . . . .
. . . . . . . .
. . . . N . . .
. . . . . Q . .
P P P P . P P P
R . B . K B N R b8d7 0
r . b q k b n r
p p . n p p p p
. . p . . . . .
. . . . . . . .
. . . . N . . .
. . . . . Q . .
P P P P . P P P
R . B . K B N R f1c4 0
r . b q k b n r
p p . n p p p p
. . p . . . . .
. . . . . . . .
. . B . N . . .
. . . . . Q . .
P P P P . P P P
R . B . K . N R g8f6 0
r . b q k b . r
p p . n p p p p
. . p . . n . .
. . . . . . . .
. . B . N . . .
. . . . . Q . .
P P P P . P P P
R . B . K . N R e4f6 1
r . b q k b . r
p p . n p p p p
. . p . . N . .
. . . . . . . .
. . B . . . . .
. . . . . Q . .
P P P P . P P P
R . B . K . N R d7f6 1,2
r . b q k b . r
p p . . p p p p
. . p . . n . .
. . . . . . . .
. . B . . . . .
. . . . . Q . .
P P P P . P P P
R . B . K . N R f3g3 0
r . b q k b . r
p p . . p p p p
. . p . . n . .
. . . . . . . .
. . B . . . . .
. . . . . . Q .
P P P P . P P P
R . B . K . N R c8f5 0
r . . q k b . r
p p . . p p p p
. . p . . n . .
. . . . . b . .
. . B . . . . .
. . . . . . Q .
P P P P . P P P
R . B . K . N R d2d3 0
r . . q k b . r
p p . . p p p p
. . p . . n . .
. . . . . b . .
. . B . . . . .
. . . P . . Q .
P P P . . P P P
R . B . K . N R f5g6 0
r . . q k b . r
p p . . p p p p
. . p . . n b .
. . . . . . . .
. . B . . . . .
. . . P . . Q .
P P P . . P P P
R . B . K . N R
",0,g1e2
Caro-Kann Defense: Goldman Variation,"r n b q k b n r
p p . . p p p p
. . p . . . . .
. . . . . . . .
. . . . p . . .
. . N . . Q . .
P P P P . P P P
R . B . K B N R c3e4 1
r n b q k b n r
p p . . p p p p
. . p . . . . .
. . . . . . . .
. . . . N . . .
. . . . . Q . .
P P P P . P P P
R . B . K B N R b8d7 0
r . b q k b n r
p p . n p p p p
. . p . . . . .
. . . . . . . .
. . . . N . . .
. . . . . Q . .
P P P P . P P P
R . B . K B N R f1c4 0
r . b q k b n r
p p . n p p p p
. . p . . . . .
. . . . . . . .
. . B . N . . .
. . . . . Q . .
P P P P . P P P
R . B . K . N R g8f6 0
r . b q k b . r
p p . n p p p p
. . p . . n . .
. . . . . . . .
. . B . N . . .
. . . . . Q . .
P P P P . P P P
R . B . K . N R e4f6 1
r . b q k b . r
p p . n p p p p
. . p . . N . .
. . . . . . . .
. . B . . . . .
. . . . . Q . .
P P P P . P P P
R . B . K . N R d7f6 1,2
r . b q k b . r
p p . . p p p p
. . p . . n . .
. . . . . . . .
. . B . . . . .
. . . . . Q . .
P P P P . P P P
R . B . K . N R f3g3 0
r . b q k b . r
p p . . p p p p
. . p . . n . .
. . . . . . . .
. . B . . . . .
. . . . . . Q .
P P P P . P P P
R . B . K . N R c8f5 0
r . . q k b . r
p p . . p p p p
. . p . . n . .
. . . . . b . .
. . B . . . . .
. . . . . . Q .
P P P P . P P P
R . B . K . N R d2d3 0
r . . q k b . r
p p . . p p p p
. . p . . n . .
. . . . . b . .
. . B . . . . .
. . . P . . Q .
P P P . . P P P
R . B . K . N R f5g6 0
r . . q k b . r
p p . . p p p p
. . p . . n b .
. . . . . . . .
. . B . . . . .
. . . P . . Q .
P P P . . P P P
R . B . K . N R g1e2 0
r . . q k b . r
p p . . p p p p
. . p . . n b .
. . . . . . . .
. . B . . . . .
. . . P . . Q .
P P P . N P P P
R . B . K . . R e7e6 0
r . . q k b . r
p p . . . p p p
. . p . p n b .
. . . . . . . .
. . B . . . . .
. . . P . . Q .
P P P . N P P P
R . B . K . . R c1f4 0
r . . q k b . r
p p . . . p p p
. . p . p n b .
. . . . . . . .
. . B . . B . .
. . . P . . Q .
P P P . N P P P
R . . . K . . R
",0,f6h5
French Defense: La Bourdonnais Variation,"r n b q k b n r
p p p . . p p p
. . . . p . . .
. . . p . . . .
. . . . P P . .
. . . . . . . .
P P P P . . P P
R N B Q K B N R e4e5 0
r n b q k b n r
p p p . . p p p
. . . . p . . .
. . . p P . . .
. . . . . P . .
. . . . . . . .
P P P P . . P P
R N B Q K B N R c7c5 0
r n b q k b n r
p p . . . p p p
. . . . p . . .
. . p p P . . .
. . . . . P . .
. . . . . . . .
P P P P . . P P
R N B Q K B N R g1f3 0
r n b q k b n r
p p . . . p p p
. . . . p . . .
. . p p P . . .
. . . . . P . .
. . . . . N . .
P P P P . . P P
R N B Q K B . R d8b6 0
r n b . k b n r
p p . . . p p p
. q . . p . . .
. . p p P . . .
. . . . . P . .
. . . . . N . .
P P P P . . P P
R N B Q K B . R c2c3 0
r n b . k b n r
p p . . . p p p
. q . . p . . .
. . p p P . . .
. . . . . P . .
. . P . . N . .
P P . P . . P P
R N B Q K B . R b8c6 0
r . b . k b n r
p p . . . p p p
. q n . p . . .
. . p p P . . .
. . . . . P . .
. . P . . N . .
P P . P . . P P
R N B Q K B . R d2d3 0
r . b . k b n r
p p . . . p p p
. q n . p . . .
. . p p P . . .
. . . . . P . .
. . P P . N . .
P P . . . . P P
R N B Q K B . R
",0,c8d7
French Defense: La Bourdonnais Variation,"r n b q k b n r
p p p p . p p p
. . . . p . . .
. . . . . . . .
. . . . P P . .
. . . . . . . .
P P P P . . P P
R N B Q K B N R d7d5 0
r n b q k b n r
p p p . . p p p
. . . . p . . .
. . . p . . . .
. . . . P P . .
. . . . . . . .
P P P P . . P P
R N B Q K B N R e4e5 0
r n b q k b n r
p p p . . p p p
. . . . p . . .
. . . p P . . .
. . . . . P . .
. . . . . . . .
P P P P . . P P
R N B Q K B N R c7c5 0
r n b q k b n r
p p . . . p p p
. . . . p . . .
. . p p P . . .
. . . . . P . .
. . . . . . . .
P P P P . . P P
R N B Q K B N R g1f3 0
r n b q k b n r
p p . . . p p p
. . . . p . . .
. . p p P . . .
. . . . . P . .
. . . . . N . .
P P P P . . P P
R N B Q K B . R
",0,d8b6
French Defense: La Bourdonnais Variation,"r n b q k b n r
p p p . . p p p
. . . . p . . .
. . . p P . . .
. . . . . P . .
. . . . . . . .
P P P P . . P P
R N B Q K B N R c7c5 0
r n b q k b n r
p p . . . p p p
. . . . p . . .
. . p p P . . .
. . . . . P . .
. . . . . . . .
P P P P . . P P
R N B Q K B N R g1f3 0
r n b q k b n r
p p . . . p p p
. . . . p . . .
. . p p P . . .
. . . . . P . .
. . . . . N . .
P P P P . . P P
R N B Q K B . R d8b6 0
r n b . k b n r
p p . . . p p p
. q . . p . . .
. . p p P . . .
. . . . . P . .
. . . . . N . .
P P P P . . P P
R N B Q K B . R c2c3 0
r n b . k b n r
p p . . . p p p
. q . . p . . .
. . p p P . . .
. . . . . P . .
. . P . . N . .
P P . P . . P P
R N B Q K B . R b8c6 0
r . b . k b n r
p p . . . p p p
. q n . p . . .
. . p p P . . .
. . . . . P . .
. . P . . N . .
P P . P . . P P
R N B Q K B . R d2d3 0
r . b . k b n r
p p . . . p p p
. q n . p . . .
. . p p P . . .
. . . . . P . .
. . P P . N . .
P P . . . . P P
R N B Q K B . R c8d7 0
r . . . k b n r
p p . b . p p p
. q n . p . . .
. . p p P . . .
. . . . . P . .
. . P P . N . .
P P . . . . P P
R N B Q K B . R f1e2 0
r . . . k b n r
p p . b . p p p
. q n . p . . .
. . p p P . . .
. . . . . P . .
. . P P . N . .
P P . . B . P P
R N B Q K . . R g8h6 0
r . . . k b . r
p p . b . p p p
. q n . p . . n
. . p p P . . .
. . . . . P . .
. . P P . N . .
P P . . B . P P
R N B Q K . . R e1g1 0,5
r . . . k b . r
p p . b . p p p
. q n . p . . n
. . p p P . . .
. . . . . P . .
. . P P . N . .
P P . . B . P P
R N B Q . R K . h6f5 0
r . . . k b . r
p p . b . p p p
. q n . p . . .
. . p p P n . .
. . . . . P . .
. . P P . N . .
P P . . B . P P
R N B Q . R K . g2g4 0
r . . . k b . r
p p . b . p p p
. q n . p . . .
. . p p P n . .
. . . . . P P .
. . P P . N . .
P P . . B . . P
R N B Q . R K . f5h6 0
r . . . k b . r
p p . b . p p p
. q n . p . . n
. . p p P . . .
. . . . . P P .
. . P P . N . .
P P . . B . . P
R N B Q . R K . g1g2 0
r . . . k b . r
p p . b . p p p
. q n . p . . n
. . p p P . . .
. . . . . P P .
. . P P . N . .
P P . . B . K P
R N B Q . R . .
",1,h6g4
French Defense: La Bourdonnais Variation,"r n b q k b n r
p p p p p p p p
. . . . . . . .
. . . . . . . .
. . . . P . . .
. . . . . . . .
P P P P . P P P
R N B Q K B N R e7e6 0
r n b q k b n r
p p p p . p p p
. . . . p . . .
. . . . . . . .
. . . . P . . .
. . . . . . . .
P P P P . P P P
R N B Q K B N R f2f4 0
r n b q k b n r
p p p p . p p p
. . . . p . . .
. . . . . . . .
. . . . P P . .
. . . . . . . .
P P P P . . P P
R N B Q K B N R d7d5 0
r n b q k b n r
p p p . . p p p
. . . . p . . .
. . . p . . . .
. . . . P P . .
. . . . . . . .
P P P P . . P P
R N B Q K B N R
",0,e4e5
French Defense: La Bourdonnais Variation,"r n b q k b n r
p p p p p p p p
. . . . . . . .
. . . . . . . .
. . . . P . . .
. . . . . . . .
P P P P . P P P
R N B Q K B N R e7e6 0
r n b q k b n r
p p p p . p p p
. . . . p . . .
. . . . . . . .
. . . . P . . .
. . . . . . . .
P P P P . P P P
R N B Q K B N R f2f4 0
r n b q k b n r
p p p p . p p p
. . . . p . . .
. . . . . . . .
. . . . P P . .
. . . . . . . .
P P P P . . P P
R N B Q K B N R d7d5 0
r n b q k b n r
p p p . . p p p
. . . . p . . .
. . . p . . . .
. . . . P P . .
. . . . . . . .
P P P P . . P P
R N B Q K B N R e4e5 0
r n b q k b n r
p p p . . p p p
. . . . p . . .
. . . p P . . .
. . . . . P . .
. . . . . . . .
P P P P . . P P
R N B Q K B N R c7c5 0
r n b q k b n r
p p . . . p p p
. . . . p . . .
. . p p P . . .
. . . . . P . .
. . . . . . . .
P P P P . . P P
R N B Q K B N R g1f3 0
r n b q k b n r
p p . . . p p p
. . . . p . . .
. . p p P . . .
. . . . . P . .
. . . . . N . .
P P P P . . P P
R N B Q K B . R d8b6 0
r n b . k b n r
p p . . . p p p
. q . . p . . .
. . p p P . . .
. . . . . P . .
. . . . . N . .
P P P P . . P P
R N B Q K B . R c2c3 0
r n b . k b n r
p p . . . p p p
. q . . p . . .
. . p p P . . .
. . . . . P . .
. . P . . N . .
P P . P . . P P
R N B Q K B . R
",0,b8c6
"Italian Game: Classical Variation, Giuoco Pianissimo","r . b q . r k .
p p p . . p p p
. . n p . n . .
. . b . p . B .
. . B . P . . .
. . P P . N . .
P P . . . P P P
R N . Q . R K . c6a5 0
r . b q . r k .
p p p . . p p p
. . . p . n . .
n . b . p . B .
. . B . P . . .
. . P P . N . .
P P . . . P P P
R N . Q . R K . c4b3 0
r . b q . r k .
p p p . . p p p
. . . p . n . .
n . b . p . B .
. . . . P . . .
. B P P . N . .
P P . . . P P P
R N . Q . R K . a5b3 1
r . b q . r k .
p p p . . p p p
. . . p . n . .
. . b . p . B .
. . . . P . . .
. n P P . N . .
P P . . . P P P
R N . Q . R K . d1b3 1
r . b q . r k .
p p p . . p p p
. . . p . n . .
. . b . p . B .
. . . . P . . .
. Q P P . N . .
P P . . . P P P
R N . . . R K . c8e6 0
r . . q . r k .
p p p . . p p p
. . . p b n . .
. . b . p . B .
. . . . P . . .
. Q P P . N . .
P P . . . P P P
R N . . . R K . b3b7 1
r . . q . r k .
p Q p . . p p p
. . . p b n . .
. . b . p . B .
. . . . P . . .
. . P P . N . .
P P . . . P P P
R N . . . R K . a8b8 0
. r . q . r k .
p Q p . . p p p
. . . p b n . .
. . b . p . B .
. . . . P . . .
. . P P . N . .
P P . . . P P P
R N . . . R K .
",0,b7a6
"Italian Game: Classical Variation, Giuoco Pianissimo","r . b q k . . r
p p p p . p p p
. . n . . n . .
. . b . p . . .
. . B . P . . .
. . P P . N . .
P P . . . P P P
R N B Q K . . R e8g8 0,5
r . b q . r k .
p p p p . p p p
. . n . . n . .
. . b . p . . .
. . B . P . . .
. . P P . N . .
P P . . . P P P
R N B Q K . . R e1g1 0,5
r . b q . r k .
p p p p . p p p
. . n . . n . .
. . b . p . . .
. . B . P . . .
. . P P . N . .
P P . . . P P P
R N B Q . R K . d7d6 0
r . b q . r k .
p p p . . p p p
. . n p . n . .
. . b . p . . .
. . B . P . . .
. . P P . N . .
P P . . . P P P
R N B Q . R K . c1g5 0
r . b q . r k .
p p p . . p p p
. . n p . n . .
. . b . p . B .
. . B . P . . .
. . P P . N . .
P P . . . P P P
R N . Q . R K . c6a5 0
r . b q . r k .
p p p . . p p p
. . . p . n . .
n . b . p . B .
. . B . P . . .
. . P P . N . .
P P . . . P P P
R N . Q . R K . c4b3 0
r . b q . r k .
p p p . . p p p
. . . p . n . .
n . b . p . B .
. . . . P . . .
. B P P . N . .
P P . . . P P P
R N . Q . R K . a5b3 1
r . b q . r k .
p p p . . p p p
. . . p . n . .
. . b . p . B .
. . . . P . . .
. n P P . N . .
P P . . . P P P
R N . Q . R K .
",1,d1b3
"Italian Game: Classical Variation, Giuoco Pianissimo","r . b q . r k .
p p p . . p p p
. . n p . n . .
. . b . p . . .
. . B . P . . .
. . P P . N . .
P P . . . P P P
R N B Q . R K . c1g5 0
r . b q . r k .
p p p . . p p p
. . n p . n . .
. . b . p . B .
. . B . P . . .
. . P P . N . .
P P . . . P P P
R N . Q . R K . c6a5 0
r . b q . r k .
p p p . . p p p
. . . p . n . .
n . b . p . B .
. . B . P . . .
. . P P . N . .
P P . . . P P P
R N . Q . R K . c4b3 0
r . b q . r k .
p p p . . p p p
. . . p . n . .
n . b . p . B .
. . . . P . . .
. B P P . N . .
P P . . . P P P
R N . Q . R K . a5b3 1
r . b q . r k .
p p p . . p p p
. . . p . n . .
. . b . p . B .
. . . . P . . .
. n P P . N . .
P P . . . P P P
R N . Q . R K . d1b3 1
r . b q . r k .
p p p . . p p p
. . . p . n . .
. . b . p . B .
. . . . P . . .
. Q P P . N . .
P P . . . P P P
R N . . . R K . c8e6 0
r . . q . r k .
p p p . . p p p
. . . p b n . .
. . b . p . B .
. . . . P . . .
. Q P P . N . .
P P . . . P P P
R N . . . R K .
",1,b3b7
"Italian Game: Classical Variation, Giuoco Pianissimo","r . b q . r k .
p p p p . p p p
. . n . . n . .
. . b . p . . .
. . B . P . . .
. . P P . N . .
P P . . . P P P
R N B Q . R K . d7d6 0
r . b q . r k .
p p p . . p p p
. . n p . n . .
. . b . p . . .
. . B . P . . .
. . P P . N . .
P P . . . P P P
R N B Q . R K . c1g5 0
r . b q . r k .
p p p . . p p p
. . n p . n . .
. . b . p . B .
. . B . P . . .
. . P P . N . .
P P . . . P P P
R N . Q . R K .
",0,c6a5
